Reporting Area,MMWR Year,MMWR Week,"Cholera, Current week","Cholera, Current week, flag","Cholera, Previous 52 weeks Max†","Cholera, Previous 52 weeks Max†, flag","Cholera, Cum 2021†","Cholera, Cum 2021†, flag","Cholera, Cum 2020†","Cholera, Cum 2020†, flag","Coccidioidomycosis, Current week","Coccidioidomycosis, Current week, flag","Coccidioidomycosis, Previous 52 weeks Max†","Coccidioidomycosis, Previous 52 weeks Max†, flag","Coccidioidomycosis, Cum 2021†","Coccidioidomycosis, Cum 2021†, flag","Coccidioidomycosis, Cum 2020†","Coccidioidomycosis, Cum 2020†, flag",Location 1,Location 2,Reporting Area Sort,geocode
ARKANSAS,2021,2,,-,0,,,-,,-,,-,3,,1,,,-,ARKANSAS,,20210244,POINT (-92.439162 34.899825)
MISSISSIPPI,2021,2,,-,0,,,-,,-,,N,,NC,,N,,N,MISSISSIPPI,,20210241,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2021,2,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20210227,POINT (-100.230491 44.43614)
MISSOURI,2021,2,,-,0,,,-,,-,,-,2,,,-,2,,MISSOURI,,20210224,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2021,2,,-,0,,,-,,-,,-,0,,,-,,-,,MIDDLE ATLANTIC,20210209,
CALIFORNIA,2021,2,,-,0,,,-,,-,,-,58,,30,,51,,CALIFORNIA,,20210259,POINT (-119.662127 37.211164)
WEST VIRGINIA,2021,2,,-,0,,,-,,-,,N,,NC,,N,,N,WEST VIRGINIA,,20210237,POINT (-80.613729 38.642579)
FLORIDA,2021,2,,-,0,,,-,,-,,N,,NC,,N,,N,FLORIDA,,20210231,POINT (-82.420978 28.260731)
MONTANA,2021,2,,-,0,,,-,,-,,-,2,,,-,,-,MONTANA,,20210252,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2021,2,,-,0,,,-,,-,,-,6,,,-,3,,,WEST NORTH CENTRAL,20210220,
MASSACHUSETTS,2021,2,,-,0,,,-,,-,,N,,NC,,N,,N,MASSACHUSETTS,,20210205,POINT (-71.481104 42.151077)
MOUNTAIN,2021,2,,-,0,,,-,,-,343,,387,,640,,345,,,MOUNTAIN,20210248,
INDIANA,2021,2,,-,0,,,-,,-,,-,1,,,-,1,,INDIANA,,20210216,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2021,2,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20210269,
US TERRITORIES,2021,2,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20210263,
TOTAL,2021,3,,-,1,,,-,,-,186,,431,,864,,656,,,TOTAL,20210370,
US RESIDENTS,2021,3,,-,1,,,-,,-,186,,431,,864,,656,,,US RESIDENTS,20210301,
NEW HAMPSHIRE,2021,3,,-,0,,,-,,-,,-,1,,,-,,-,NEW HAMPSHIRE,,20210306,POINT (-71.57139 43.680429)
NEW YORK,2021,3,,-,0,,,-,,-,,-,0,,,-,,-,NEW YORK,,20210311,POINT (-75.59655 42.921241)
PACIFIC,2021,3,,-,1,,,-,,-,5,,58,,64,,68,,,PACIFIC,20210357,
WEST SOUTH CENTRAL,2021,3,,-,0,,,-,,-,,-,3,,1,,2,,,WEST SOUTH CENTRAL,20210343,
NEBRASKA,2021,3,,-,0,,,-,,-,,-,2,,,-,,-,NEBRASKA,,20210325,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2021,3,,-,0,,,-,,-,,-,1,,,-,1,,,EAST SOUTH CENTRAL,20210338,
NORTH DAKOTA,2021,3,,-,0,,,-,,-,,-,1,,1,,1,,NORTH DAKOTA,,20210326,POINT (-100.46931 47.446305)
NEVADA,2021,3,,-,0,,,-,,-,,-,3,,,-,6,,NEVADA,,20210353,POINT (-114.916992 39.283294)
ILLINOIS,2021,3,,-,0,,,-,,-,,N,,NC,,N,,N,ILLINOIS,,20210315,POINT (-89.148632 40.124144)
IOWA,2021,3,,-,0,,,-,,-,,N,,NC,,N,,N,IOWA,,20210321,POINT (-93.500061 42.074659)
