Reporting Area,MMWR Year,MMWR Week,"Cholera, Current week","Cholera, Current week, flag","Cholera, Previous 52 weeks Max†","Cholera, Previous 52 weeks Max†, flag","Cholera, Cum 2019†","Cholera, Cum 2019†, flag","Cholera, Cum 2018†","Cholera, Cum 2018†, flag","Coccidioidomycosis, Current week","Coccidioidomycosis, Current week, flag","Coccidioidomycosis, Previous 52 weeks Max†","Coccidioidomycosis, Previous 52 weeks Max†, flag","Coccidioidomycosis, Cum 2019†","Coccidioidomycosis, Cum 2019†, flag","Coccidioidomycosis, Cum 2018†","Coccidioidomycosis, Cum 2018†, flag",Location 1,Location 2,Reporting Area Sort
MONTANA,2019,28,,-,0,,,-,,-,,-,2,,3,,14,,"MONTANA
(47.033521, -109.645127)",,20192852
NEVADA,2019,28,,-,0,,,-,,-,,-,5,,45,,110,,"NEVADA
(39.283294, -114.916992)",,20192853
NEW MEXICO,2019,28,,-,0,,,-,,-,,-,4,,7,,36,,"NEW MEXICO
(34.421369, -106.108388)",,20192854
UTAH,2019,28,,-,0,,,-,,-,,-,4,,,-,34,,"UTAH
(39.323779, -111.678222)",,20192855
WYOMING,2019,28,,-,0,,,-,,-,,-,1,,1,,3,,"WYOMING
(42.999627, -107.55145)",,20192856
PACIFIC,2019,28,,-,1,,,-,1,,15,,229,,3697,,4041,,,PACIFIC,20192857
ALASKA,2019,28,,-,0,,,-,,-,,N,,NC,,N,,N,"ALASKA
(63.631126, -151.631889)",,20192858
CALIFORNIA,2019,28,,-,1,,,-,1,,15,,229,,3695,,4034,,"CALIFORNIA
(37.211164, -119.662127)",,20192859
HAWAII,2019,28,,-,0,,,-,,-,,N,,NC,,N,,N,"HAWAII
(21.361013, -157.854309)",,20192860
OREGON,2019,28,,-,0,,,-,,-,,-,1,,2,,7,,"OREGON
(43.940449, -120.605279)",,20192861
WASHINGTON,2019,28,,-,0,,,-,,-,,N,,NC,,N,,N,"WASHINGTON
(47.411715, -120.592492)",,20192862
US TERRITORIES,2019,28,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20192863
